REGISTRO,CUESTIONARIO,GENERO,GRUPO DE EDAD,Acepta contestar la encuesta?, ¿En qué municipio vive?, ¿Que tan seguro considera es vivir en SU MUNICIPIO?,¿Qué tan seguro considera que es vivir en EL ESTADO?,¿Qué tan seguro considera que es vivir en EL PAIS?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en SU MUNICIPIO...?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en EL ESTADO...?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en EL PAIS...?,"En este momento, ¿Cuánta confianza le tiene a Tránsito de su Municipio?","En este momento, ¿Cuánta confianza le tiene a La Policía de su Municipio?","En este momento, ¿Cuánta confianza le tiene a La Fuerza Civil?","En este momento, ¿Cuánta confianza le tiene a La Policía Federal?","En este momento, ¿Cuánta confianza le tiene a El Ejército?","En este momento, ¿Cuánta confianza le tiene a La Marina?",¿En alguna ocasión los elementos de Tránsito de su Municipio le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Policía de su Municipio le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Fuerza Civil le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Policía Federal le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de El Ejército le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Marina le han pedido a usted algún soborno?,¿Qué tan comprometido considera que está el ALCALDE ACTUAL DE SU MUNICIPIO en resolver el problema de inseguridad?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad  EN LOS PRÓXIMOS TRES MESES en SU MUNICIPIO…,¿Qué tan comprometido considera que está el GOBERNADOR DEL ESTADO en resolver el problema de inseguridad en el Estado?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad EN LOS PRÓXIMOS TRES MESES en EL ESTADO…,¿Qué tan comprometido considera que está el PRESIDENTE DE LA REPÚBLICA en resolver el problema de inseguridad en el País?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad EN LOS PRÓXIMOS TRES MESES en EL PAIS…
1,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,García,INSEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A AUMENTAR?,No sabe,VA A AUMENTAR?,NADA COMPROMETIDO,VA A AUMENTAR?
2,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA BAJADO?,ALGO DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
3,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,NADA DE CONFIANZA,No contestó,No contestó,No contestó,No contestó,No Contestó,No Contestó,No Contestó,No Contestó,No Contestó,No Contestó,,,,,,
4,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Monterrey,INSEGURO,INSEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,SI,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A AUMENTAR?
5,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
6,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Juárez,,,,,,,,,,,,,,,,,,,,,,,,
7,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Juárez,SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
8,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,POCO SEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
9,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,POCO SEGURO,No sabe,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,,,,,,,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
10,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,Juárez,INSEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
11,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Juárez,SEGURO,POCO SEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
12,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
13,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,No sabe,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
14,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA BAJADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,No sabe,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
15,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,INSEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
16,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Guadalupe,INSEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,No sabe,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A SEGUIR IGUAL?
17,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,INSEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
18,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,García,SEGURO,INSEGURO,SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
